size,dimension,correlation,noise_std,",K-value",shuffled,Average,AIC
500,20,-1,0.2,5,True,0.99939,-34.03736
500,20,-0.5,0.2,5,True,0.99888,-31.38833
500,20,-0.2,0.2,5,True,0.99821,-29.45754
500,20,0,0.2,5,True,0.9974,-28.42249
500,20,0.2,0.2,5,True,0.99598,-27.75247
500,20,0.5,0.2,5,True,0.99119,-27.45885
500,20,1,0.2,5,True,0.98725,-45.28588
